Index,long,lat,B04
296,40.03128557309593,-121.2599069427589,290
297,40.54696521439289,-120.9638046482895,553
298,40.00575810510734,-121.5308275335748,532
299,40.165975872886484,-121.64445629536,1110
300,40.07457719936124,-121.68743345874819,633
301,40.3920083335933,-121.00417953634718,504
302,40.48933041956174,-120.70975786620423,704
303,40.136004350803084,-121.10159961498323,1062
304,39.7627880931628,-120.59756569895485,645
305,40.503564486659606,-120.63386682335737,854
306,39.74084744890105,-120.81852985883707,694
307,39.95492576555736,-120.81045273171927,289
308,40.51913440974887,-121.31038719288667,207
309,39.72614915473433,-120.74245762611305,574
310,39.972148854823374,-121.4610553653892,668
311,40.47675191307811,-121.40889210777046,534
312,40.370923045562854,-121.04602484309586,316
313,39.69951644153497,-121.21520329258806,957
314,39.836628312817005,-121.34196116723245,683
315,40.25100651307674,-121.1213156198549,37
316,40.20094100458392,-121.26708973201873,958
317,40.294016647304446,-120.71330973510186,347
318,40.032418834721774,-120.74105932311839,98
319,39.81171234771652,-120.82143033337299,228
320,39.71383260989064,-120.71614681433418,1132
321,40.05232412140018,-121.46734233639984,421
322,40.5807249351369,-120.6146087526085,932
323,40.505259253556375,-121.6763593278322,556
324,40.55796528868389,-120.9239056286044,604
325,40.1905766819994,-121.71609515801562,1274
326,40.45494938292126,-121.80483299037331,1016
327,40.07071850370932,-121.40184807777312,711
328,40.200040232275306,-121.60735637900562,437
329,40.1569906320208,-121.33548480339087,300
330,40.070652166049214,-120.71997981870291,546
331,40.339028348663675,-121.67466936657789,300
332,40.32205026150082,-121.15842204201451,241
333,39.77609702052699,-121.41370578036583,507
334,40.331237205046605,-120.8747254088575,676
335,39.860862690216926,-121.51475009491887,324
336,39.99040621928127,-120.87748376804784,1326
337,39.65442653952309,-121.67653370557213,1660
338,39.867179015887814,-121.23869071676981,273
339,40.57201207999031,-120.92358950050772,190
340,39.79724608437679,-121.30997061048618,753
341,40.29878926633144,-121.02092705942806,604
342,39.96699081563573,-121.50753778223206,345
343,39.655829191131424,-121.7713890327543,944
344,40.201819104888,-121.24168979963943,805
345,40.095154476949574,-121.38391513445453,244
346,39.974699577870254,-120.99717234182543,116
347,40.08437976353359,-121.20296188552794,569
348,39.66800875360392,-120.91408220432443,179
349,40.55766185628359,-121.49048220451887,709
350,39.947858389488566,-121.64420677455267,211
351,40.12551109550746,-121.43612511182766,294
352,40.610253081721304,-120.98729685958493,1578
353,40.471985897925066,-121.25353395869273,448
354,40.62540691565195,-120.6191663824539,485
355,39.83115690815844,-121.49575825115997,510
356,39.96452857900554,-120.9615263738431,496
