Index,long,lat,LUC,blue,green,red,nir,swir16,swir22,ndvi,ndwi1,ndwi2
379,642499,4483200,4,222,410,574,1513,1378,1012,4499,466,1984
380,641590,4460739,4,448,598,896,1420,2058,1898,2262,-1834,-1440
381,625049,4470320,4,368,490,688,930,2156,2060,1495,-3972,-3779
382,636280,4436830,4,553,730,1004,1240,1904,1942,1051,-2111,-2206
383,678920,4392990,4,41,249,143,2006,913,437,8669,3744,6422
384,669890,4479730,4,392,646,686,2301,1903,1200,5406,946,3144
385,709659,4418449,5,690,972,1104,2133,2297,1562,3178,-370,1545
386,659719,4458350,6,491,564,457,372,421,380,-1025,-617,-106
387,686479,4409130,4,234,486,379,2018,1552,982,6837,1305,3453
388,680109,4431980,4,234,430,666,1372,2066,1661,3464,-2018,-952
389,672710,4491390,4,278,432,396,1801,1370,956,6395,1359,3064
390,679900,4403070,4,216,411,480,1757,1663,1133,5708,274,2159
391,689159,4497749,6,314,425,124,67,75,78,-2984,-563,-758
392,632429,4453629,4,554,608,865,1509,2071,1562,2712,-1569,-172
393,606720,4398379,5,510,770,1208,1789,3000,2459,1938,-2528,-1577
394,698889,4483509,4,332,541,521,1946,1614,1097,5776,932,2790
395,668920,4432610,4,1,78,29,61,622,431,3555,-8213,-7520
396,679400,4444339,5,260,574,710,2927,2009,1191,6095,1859,4215
397,672460,4433990,4,462,640,891,1265,2100,2119,1734,-2481,-2523
398,635849,4404110,4,246,480,443,2766,1426,788,7239,3196,5565
399,709590,4496969,5,704,896,1014,1973,2314,1834,3210,-795,365
