Index,long,lat,B04,B02,SCL,B03,B08
302,-120.70975786620423,40.48933041956174,704,398,4,576,2116
303,-121.10159961498323,40.136004350803084,1062,674,5,935,2491
304,-120.59756569895485,39.7627880931628,645,343,5,575,1465
305,-120.63386682335737,40.503564486659606,854,509,5,711,2116
306,-120.81852985883707,39.74084744890105,694,488,4,657,1927
307,-120.81045273171927,39.95492576555736,289,163,4,340,1859
308,-121.31038719288667,40.51913440974887,207,306,6,426,133
309,-120.74245762611305,39.72614915473433,574,308,4,464,1876
310,-121.4610553653892,39.972148854823374,668,386,4,579,2604
311,-121.40889210777046,40.47675191307811,534,336,4,462,1797
312,-121.04602484309586,40.370923045562854,316,233,4,396,2391
313,-121.21520329258806,39.69951644153497,957,551,5,716,1814
314,-121.34196116723245,39.836628312817005,683,392,5,549,1452
315,-121.1213156198549,40.25100651307674,37,131,6,141,47
316,-121.26708973201873,40.20094100458392,958,426,5,702,2213
317,-120.71330973510186,40.294016647304446,347,219,4,299,1808
318,-120.74105932311839,40.032418834721774,98,39,4,286,2344
319,-120.82143033337299,39.81171234771652,228,107,4,248,1978
320,-120.71614681433418,39.71383260989064,1132,625,5,894,2416
321,-121.46734233639984,40.05232412140018,421,249,4,416,2265
322,-120.6146087526085,40.5807249351369,932,641,4,900,3118
323,-121.6763593278322,40.505259253556375,556,335,4,549,2749
324,-120.9239056286044,40.55796528868389,604,363,4,476,1889
325,-121.71609515801562,40.1905766819994,1274,811,5,985,1757
326,-121.80483299037331,40.45494938292126,1016,607,4,813,2469
327,-121.40184807777312,40.07071850370932,711,485,4,640,2424
328,-121.60735637900562,40.200040232275306,437,291,4,473,2302
329,-121.33548480339087,40.1569906320208,300,267,4,482,3084
330,-120.71997981870291,40.070652166049214,546,346,4,495,1577
331,-121.67466936657789,40.339028348663675,300,213,4,350,2249
332,-121.15842204201451,40.32205026150082,241,205,4,345,2358
333,-121.41370578036583,39.77609702052699,507,333,4,535,2916
334,-120.8747254088575,40.331237205046605,676,396,4,637,2485
335,-121.51475009491887,39.860862690216926,324,192,4,462,2725
336,-120.87748376804784,39.99040621928127,1326,869,4,1070,2391
337,-121.67653370557213,39.65442653952309,1660,755,5,1056,2353
338,-121.23869071676981,39.867179015887814,273,229,4,414,2962
339,-120.92358950050772,40.57201207999031,190,183,4,303,2024
340,-121.30997061048618,39.79724608437679,753,383,5,510,1229
341,-121.02092705942806,40.29878926633144,604,386,4,598,1548
342,-121.50753778223206,39.96699081563573,345,208,4,385,2910
343,-121.7713890327543,39.655829191131424,944,500,4,831,3379
344,-121.24168979963943,40.201819104888,805,359,4,623,2418
345,-121.38391513445453,40.095154476949574,244,217,4,361,2284
346,-120.99717234182543,39.974699577870254,116,73,4,174,1735
347,-121.20296188552794,40.08437976353359,569,354,4,677,3421
348,-120.91408220432443,39.66800875360392,179,133,4,267,2239
349,-121.49048220451887,40.55766185628359,709,453,4,696,3322
350,-121.64420677455267,39.947858389488566,211,201,4,378,3294
351,-121.43612511182766,40.12551109550746,294,260,4,440,2747
352,-120.98729685958493,40.610253081721304,1578,932,5,1160,2238
353,-121.25353395869273,40.471985897925066,448,304,4,482,2057
354,-120.6191663824539,40.62540691565195,485,346,2,458,1069
355,-121.49575825115997,39.83115690815844,510,237,4,518,3292
356,-120.9615263738431,39.96452857900554,496,252,4,444,2094
357,-121.21383681725536,40.545517528595035,622,348,4,504,1721
358,-120.6402516759018,40.42911005924886,1396,800,5,1016,1922
359,-120.8439017206685,39.95960690695623,337,176,4,393,1964
360,-121.33434387844942,40.28516969893636,575,410,4,583,2491
361,-121.01164459877211,40.00864196590289,1204,525,4,858,2750
362,-121.26090618648637,40.27733240417097,260,194,4,342,1817
363,-121.64279189716639,39.71088910236569,935,442,5,720,2647
364,-120.98165687580783,39.849206071121195,402,221,4,428,2032
365,-121.77244436243937,40.607847024606606,561,411,4,590,2599
366,-120.85657871081267,40.450710895973096,722,361,4,574,2170
367,-120.55529943953142,39.73668073380809,374,152,4,281,1605
368,-121.11286172882119,40.503825320645994,606,286,4,482,2116
369,-120.98641842880954,39.990008419063464,368,203,4,382,1911
370,-121.41038480322588,39.65640406310807,716,310,5,495,1511
371,-121.25837815897307,40.261258902009345,368,267,4,395,2469
372,-120.97854547202327,40.038518835004666,216,93,4,323,1865
373,-121.11340114479334,40.450865445086244,343,214,4,313,2117
374,-121.25374315592107,40.57306248900036,606,412,4,548,1923
375,-120.89438025192172,40.13025856746672,1664,710,5,1060,2602
376,-121.29133539447743,40.189860316493075,233,192,4,353,2325
377,-120.66534607234128,39.70174077868453,265,149,2,331,492
378,-121.42814114603034,39.98792373346361,259,166,4,333,1923
379,-120.66363029396737,40.60469703786969,1060,746,5,893,1652
380,-120.79962581876855,39.69679679971529,412,288,4,653,3830
381,-121.73353552650883,40.2507693432944,444,245,4,412,2631
382,-120.61785508967337,40.52917773643276,710,413,4,626,1995
383,-120.84569131622729,39.857750590882446,131,58,4,145,1521
384,-120.89687335726501,40.19399411003093,203,186,4,351,2659
385,-120.65100400496408,40.037383655016534,584,323,5,490,1198
386,-121.26581613974949,40.38424821215545,264,186,4,327,2093
387,-121.42092216270927,40.52718423329443,1036,708,5,852,1907
388,-121.00264103318396,40.212533902614865,475,335,4,550,2097
389,-120.61257682726729,40.218024311078324,409,260,4,404,2009
390,-120.61669179257133,40.00632427328872,329,213,4,335,1846
391,-121.02080707241942,39.77609623457494,916,508,5,644,1337
392,-121.09970279923985,39.91291290988596,159,117,4,285,2397
393,-121.02181546589712,39.773500774298114,660,302,5,468,1169
394,-121.01759845521988,39.672164984894756,941,568,4,686,2470
395,-120.61477310051947,40.50623440242998,886,495,5,677,2169
396,-121.33045424070819,39.94970993537474,398,187,4,462,3218
