Index,long,lat,B04,B02,SCL,B03,B08
459,-121.54590421959726,39.6639463965026,948,455,4,705,2941
460,-121.50414418253885,40.154518084537536,332,193,4,376,2465
461,-121.62754753818693,39.726657153958456,236,110,4,319,2579
462,-120.57261191248429,40.54634108178228,1250,675,5,884,1578
463,-121.38691583876516,39.783295648206945,185,121,4,255,2390
464,-121.66393618343359,39.66094959934789,1586,731,5,1048,2244
465,-120.57987164359764,40.469297133567785,985,639,5,777,1574
466,-121.63765222231893,40.13625595443069,974,328,5,615,2341
467,-121.0451879592554,39.66533526395172,359,246,4,442,2964
468,-121.00075239434916,40.31663927437011,795,444,4,672,2676
469,-120.57773426214852,40.28891411547058,361,276,4,411,2136
470,-120.73720060579538,39.868836801575796,559,309,4,531,2075
471,-121.51307584390669,40.54543314660619,370,301,4,379,2124
472,-121.3299386905479,39.66689733008218,1400,613,5,989,2458
473,-120.75625850214357,40.147752452700054,448,335,4,547,3146
474,-121.82830877660169,39.97013692346954,1530,780,5,1084,2588
475,-120.81748904543973,39.89190712188242,1042,496,5,703,2168
476,-121.1338643756212,39.83959298304243,442,278,4,490,2394
477,-121.80742962503659,40.414796911504084,1232,621,5,879,2608
478,-121.17037320886791,40.24990094717412,28,117,6,109,21
479,-121.7355832820497,39.656976555737025,2574,1238,5,1758,3537
480,-121.08704758628137,40.05216322571779,241,197,4,448,2646
481,-120.74404006124982,39.727711449711926,619,339,5,516,1619
482,-120.76406515806592,40.60893793541142,62,258,6,291,11
483,-121.3336685759896,40.07273064074787,745,476,4,742,2915
484,-121.58680576140162,40.08060053386112,509,334,4,577,2920
485,-120.66868245092711,40.46256605406896,644,410,4,581,1980
486,-121.59846678158213,40.260833706206654,279,219,4,402,2659
487,-120.99654228069484,40.45088030164785,541,257,4,465,2131
488,-121.39399283131674,39.82042272492755,483,340,4,666,4135
489,-120.60794364699758,40.62517488264149,490,297,2,370,775
490,-121.79615841039588,40.10053386002491,1028,617,5,785,2049
491,-120.658119711521,40.427131519890324,1266,649,5,950,2856
492,-120.99038702667352,40.44771062514559,737,391,5,603,2003
493,-121.19605544870547,40.49083111942887,648,410,5,549,1600
494,-120.81494416587829,40.50920377404996,450,320,4,452,2231
495,-120.57729629876813,40.37024687527267,1352,819,5,1046,2016
496,-121.48733594878735,40.4612296320133,600,384,5,642,2425
497,-120.6191587404722,40.31184414392363,270,235,4,365,2310
498,-120.74077754007655,39.909445796045105,352,108,4,346,1752
499,-121.62796050411112,40.62144509138752,432,287,4,432,2330
